id,brand,title,sold_price,actual_price,url,img
477,EXOTIC,EXOTIC New Hand bag for Women,"₹1,369","₹2,999",https://www.amazon.in/Exotic-New-Hand-bag-Women/dp/B09F6TFK9Z/ref=sr_1_2310?qid=1679212387&s=apparel&sr=1-2310,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81iMD7Jaq5L._AC_UL320_.jpg
478,Pond'S,"Pond'S Pure Detox Face Wash 200 G, Daily Exfoliating & Brightening Cleanser, Deep Cleans Oily Skin - With Activated Charco...",₹230,₹425,https://www.amazon.in/PONDS-White-Pollution-Activated-Charcoal/dp/B08PQ6VWPT/ref=sr_1_2312_mod_primary_new?qid=1679212387&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2312,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51ePWbQhKoL._AC_UL320_.jpg
479,Lakme,"Lakme Blush & Glow Strawberry Sheet Mask, 25 ml",₹85,₹100,https://www.amazon.in/Lakme-Blush-Glow-Strawberry-Sheet/dp/B084S2J2HG/ref=sr_1_2313_mod_primary_new?qid=1679212387&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2313,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61LEPwecRdS._AC_UL320_.jpg
480,Shining,Shining Diva Fashion Latest Stylish Rose Gold Tulip Design Earrings Necklace Jewellery Set For Women (10103s),₹490,"₹3,499",https://www.amazon.in/Shining-Diva-Fashion-Earrings-Jewellery/dp/B07P41HV9F/ref=sr_1_2314?qid=1679212387&s=apparel&sr=1-2314,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61SG-u7I0zL._AC_UL320_.jpg
481,Casio,Casio Enticer Analog Black Dial Men's Watch-MTP-VD01G-1BVUDF (A1367),"₹4,195","₹4,195",https://www.amazon.in/Casio-Enticer-Analog-Watch-MTP-VD01G-1BVUDF-A1367/dp/B07BS5JZRR/ref=sr_1_2315?qid=1679212387&s=apparel&sr=1-2315,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61I6dAeH7nL._AC_UL320_.jpg
482,Mamaearth,"Mamaearth Long Stay Kajal Black Retractable Waterproof, with Vitamin C & Chamomile, Charcoal Black, Matte Finish",₹262,₹299,https://www.amazon.in/Mamaearth-Retractable-Waterproof-Chamomile-Smudge-free/dp/B09GBC38RZ/ref=sr_1_2316?qid=1679212387&s=apparel&sr=1-2316,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41I3TEx8UeL._AC_UL320_.jpg
483,Elios,Elios Long Black PU Leather Wallet for Women (Black),₹549,"₹1,299",https://www.amazon.in/Elios-Black-Womens-Wallet/dp/B071SJBYVW/ref=sr_1_2317?qid=1679212387&s=apparel&sr=1-2317,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Y2eoUhz8L._AC_UL320_.jpg
484,Safari,"Safari Prisma Trolley Bags 55cms, Softside Polyester Travel Suitcases with Trolley, 4 Wheel Red  Small Cabin Luggage","₹2,499","₹7,100",https://www.amazon.in/Safari-Polyester-Softsided-Luggage-PRISMA554WBLU/dp/B07FZCHTV8/ref=sr_1_2318?qid=1679212387&s=apparel&sr=1-2318,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91nZHj6OjJL._AC_UL320_.jpg
485,GoSriKi,GoSriKi Women Kurta and Palazzo,₹479,"₹2,599",https://www.amazon.in/GoSriKi-Womens-Palazzo-Janar-GS_Dark-Brown_X-Large/dp/B0BJ31Z8NX/ref=sr_1_2319?qid=1679212387&s=apparel&sr=1-2319,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/718zrjqofQL._AC_UL320_.jpg
486,Women,Women & Girl Floral Print Viscose Rayon Straight Kurta,"₹5,999","₹7,999",https://www.amazon.in/Cotton-Flower-Printed-Straight-Size-2XL/dp/B0BXGV78JG/ref=sr_1_2320?qid=1679212387&s=apparel&sr=1-2320,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51lZFzkMlsL._AC_UL320_.jpg
487,Parachute,"Parachute Advansed Soft Touch Body Lotion for Women & Men, All Skin types, 400ml | Pure Coconut Milk & Honey, 100% Natura...",₹150.75,₹280,https://www.amazon.in/Parachute-Advansed-Body-Lotion-Touch/dp/B00CBRJ1SM/ref=sr_1_2321?qid=1679212387&s=apparel&sr=1-2321,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51df5EZ6azL._AC_UL320_.jpg
